Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotLearningBrain,0.081,1.931,2.410,130,nan
RobotLearningBrain,0.051,2.681,1.327,130,nan
RobotLearningBrain,0.052,3.446,1.352,130,nan
RobotLearningBrain,0.053,4.180,1.296,130,nan
RobotLearningBrain,0.050,4.937,1.332,130,nan
RobotLearningBrain,0.056,5.694,1.321,130,nan
RobotLearningBrain,0.059,6.509,1.432,130,nan
RobotLearningBrain,0.055,7.298,1.380,130,nan
RobotLearningBrain,0.050,8.053,1.345,130,nan
RobotLearningBrain,0.054,8.812,1.343,130,nan
RobotLearningBrain,0.054,9.577,1.330,130,nan
RobotLearningBrain,0.055,10.358,1.380,130,nan
RobotLearningBrain,0.052,11.131,1.363,130,nan
RobotLearningBrain,0.051,11.874,1.308,130,nan
RobotLearningBrain,0.049,12.621,1.336,130,nan
RobotLearningBrain,0.051,13.382,1.330,130,nan
RobotLearningBrain,0.052,14.138,1.336,130,nan
RobotLearningBrain,0.050,14.858,1.269,130,nan
RobotLearningBrain,0.053,15.628,1.367,130,nan
RobotLearningBrain,0.054,16.381,1.320,130,nan
RobotLearningBrain,0.051,17.134,1.335,130,nan
RobotLearningBrain,0.054,17.904,1.360,130,nan
RobotLearningBrain,0.054,18.710,1.427,130,nan
RobotLearningBrain,0.056,19.515,1.416,130,nan
RobotLearningBrain,0.053,20.242,1.283,130,nan
RobotLearningBrain,0.050,20.962,1.281,130,nan
RobotLearningBrain,0.051,21.694,1.292,130,nan
RobotLearningBrain,0.051,22.419,1.270,130,nan
RobotLearningBrain,0.051,23.149,1.294,130,nan
RobotLearningBrain,0.050,23.858,1.267,130,nan
RobotLearningBrain,0.057,24.655,1.386,130,nan
RobotLearningBrain,0.067,25.476,1.419,130,nan
RobotLearningBrain,0.053,26.225,1.315,130,nan
RobotLearningBrain,0.060,27.010,1.364,130,nan
RobotLearningBrain,0.063,27.820,1.399,130,nan
RobotLearningBrain,0.053,28.588,1.353,130,nan
RobotLearningBrain,0.052,29.328,1.301,130,nan
