Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotLearningBrain,0.083,2.011,2.375,130,nan
RobotLearningBrain,0.051,2.680,1.183,130,nan
RobotLearningBrain,0.052,3.348,1.165,130,nan
RobotLearningBrain,0.052,4.035,1.202,130,nan
RobotLearningBrain,0.054,4.743,1.233,130,nan
RobotLearningBrain,0.051,5.450,1.237,130,nan
RobotLearningBrain,0.051,6.170,1.265,130,nan
RobotLearningBrain,0.052,6.840,1.161,130,nan
RobotLearningBrain,0.050,7.515,1.198,130,nan
RobotLearningBrain,0.050,8.172,1.143,130,nan
RobotLearningBrain,0.051,8.835,1.136,130,nan
RobotLearningBrain,0.051,9.498,1.149,130,nan
RobotLearningBrain,0.056,10.165,1.153,130,nan
RobotLearningBrain,0.052,10.833,1.169,130,nan
RobotLearningBrain,0.051,11.485,1.145,130,nan
RobotLearningBrain,0.051,12.165,1.202,130,nan
RobotLearningBrain,0.050,12.865,1.235,130,nan
RobotLearningBrain,0.053,13.535,1.177,130,nan
RobotLearningBrain,0.051,14.214,1.190,130,nan
RobotLearningBrain,0.052,14.889,1.194,130,nan
RobotLearningBrain,0.050,15.564,1.175,130,nan
RobotLearningBrain,0.050,16.256,1.233,130,nan
RobotLearningBrain,0.051,16.929,1.180,130,nan
RobotLearningBrain,0.052,17.618,1.216,130,nan
RobotLearningBrain,0.051,18.300,1.181,130,nan
RobotLearningBrain,0.051,18.989,1.198,130,nan
RobotLearningBrain,0.049,19.692,1.247,130,nan
RobotLearningBrain,0.051,20.370,1.191,130,nan
RobotLearningBrain,0.051,21.062,1.210,130,nan
RobotLearningBrain,0.050,21.717,1.146,130,nan
RobotLearningBrain,0.051,22.381,1.139,130,nan
RobotLearningBrain,0.051,23.063,1.178,130,nan
RobotLearningBrain,0.051,23.724,1.170,130,nan
RobotLearningBrain,0.051,24.379,1.151,130,nan
RobotLearningBrain,0.050,25.048,1.173,130,nan
RobotLearningBrain,0.051,25.772,1.278,130,nan
RobotLearningBrain,0.050,26.441,1.179,130,nan
