Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotLearningBrain,0.051,27.093,1.146,130,nan
RobotLearningBrain,0.049,27.754,1.163,130,nan
RobotLearningBrain,0.051,28.409,1.144,130,nan
RobotLearningBrain,0.051,29.078,1.166,130,nan
RobotLearningBrain,0.051,29.746,1.173,130,nan
RobotLearningBrain,0.051,30.414,1.165,130,nan
RobotLearningBrain,0.052,31.097,1.193,130,nan
RobotLearningBrain,0.052,31.795,1.227,130,nan
RobotLearningBrain,0.052,32.508,1.266,130,nan
RobotLearningBrain,0.051,33.233,1.261,130,nan
RobotLearningBrain,0.051,33.958,1.289,130,nan
RobotLearningBrain,0.051,34.650,1.214,130,nan
RobotLearningBrain,0.051,35.329,1.194,130,nan
RobotLearningBrain,0.050,36.012,1.211,130,nan
RobotLearningBrain,0.052,36.728,1.265,130,nan
RobotLearningBrain,0.050,37.413,1.209,130,nan
RobotLearningBrain,0.052,38.137,1.283,130,nan
RobotLearningBrain,0.050,38.864,1.284,130,nan
RobotLearningBrain,0.050,39.585,1.266,130,nan
RobotLearningBrain,0.051,40.294,1.256,130,nan
RobotLearningBrain,0.051,40.972,1.189,130,nan
RobotLearningBrain,0.051,41.684,1.264,130,nan
RobotLearningBrain,0.049,42.354,1.175,130,nan
RobotLearningBrain,0.051,43.051,1.221,130,nan
RobotLearningBrain,0.050,43.780,1.275,130,nan
RobotLearningBrain,0.050,44.554,1.380,130,nan
RobotLearningBrain,0.052,45.370,1.468,130,nan
RobotLearningBrain,0.051,46.163,1.422,130,nan
RobotLearningBrain,0.051,46.981,1.471,130,nan
RobotLearningBrain,0.050,47.773,1.408,130,nan
RobotLearningBrain,0.052,48.527,1.350,130,nan
RobotLearningBrain,0.050,49.296,1.360,130,nan
RobotLearningBrain,0.051,50.142,1.527,130,nan
RobotLearningBrain,0.051,50.917,1.376,130,nan
RobotLearningBrain,0.050,51.748,1.505,130,nan
RobotLearningBrain,0.050,52.558,1.451,130,nan
RobotLearningBrain,0.048,53.405,1.531,130,nan
RobotLearningBrain,0.052,54.237,1.499,130,nan
RobotLearningBrain,0.051,55.077,1.503,130,nan
RobotLearningBrain,0.051,55.955,1.575,130,nan
RobotLearningBrain,0.050,56.764,1.448,130,nan
RobotLearningBrain,0.049,57.535,1.384,130,nan
RobotLearningBrain,0.050,58.388,1.537,130,nan
RobotLearningBrain,0.052,59.239,1.528,130,nan
RobotLearningBrain,0.054,60.101,1.534,130,nan
RobotLearningBrain,0.051,60.957,1.542,130,nan
RobotLearningBrain,0.053,61.821,1.562,130,nan
RobotLearningBrain,0.053,62.668,1.524,130,nan
RobotLearningBrain,0.051,63.527,1.546,130,nan
RobotLearningBrain,0.050,64.379,1.525,130,nan
RobotLearningBrain,0.052,65.225,1.521,130,nan
RobotLearningBrain,0.050,66.071,1.525,130,nan
RobotLearningBrain,0.050,66.915,1.514,130,nan
RobotLearningBrain,0.050,67.763,1.526,130,nan
RobotLearningBrain,0.052,68.623,1.541,130,nan
RobotLearningBrain,0.050,69.485,1.548,130,nan
RobotLearningBrain,0.050,70.342,1.551,130,nan
RobotLearningBrain,0.051,71.192,1.535,130,nan
RobotLearningBrain,0.050,72.036,1.519,130,nan
RobotLearningBrain,0.051,72.881,1.531,130,nan
RobotLearningBrain,0.050,73.718,1.502,130,nan
RobotLearningBrain,0.050,74.566,1.523,130,nan
RobotLearningBrain,0.051,75.423,1.541,130,nan
RobotLearningBrain,0.051,76.282,1.547,130,nan
RobotLearningBrain,0.052,77.141,1.553,130,nan
RobotLearningBrain,0.050,77.989,1.523,130,nan
RobotLearningBrain,0.050,78.845,1.541,130,nan
RobotLearningBrain,0.051,79.710,1.561,130,nan
RobotLearningBrain,0.051,80.605,1.632,130,nan
RobotLearningBrain,0.050,81.475,1.579,130,nan
RobotLearningBrain,0.051,82.353,1.571,130,nan
RobotLearningBrain,0.050,83.237,1.598,130,nan
RobotLearningBrain,0.050,84.110,1.578,130,nan
RobotLearningBrain,0.050,84.963,1.546,130,nan
RobotLearningBrain,0.061,85.844,1.570,130,nan
RobotLearningBrain,0.051,86.735,1.601,130,nan
RobotLearningBrain,0.050,87.614,1.593,130,nan
RobotLearningBrain,0.051,88.495,1.599,130,nan
RobotLearningBrain,0.052,89.376,1.587,130,nan
RobotLearningBrain,0.049,90.260,1.602,130,nan
RobotLearningBrain,0.050,91.134,1.594,130,nan
RobotLearningBrain,0.051,91.996,1.556,130,nan
RobotLearningBrain,0.052,92.845,1.534,130,nan
RobotLearningBrain,0.052,93.700,1.524,130,nan
RobotLearningBrain,0.050,94.553,1.536,130,nan
RobotLearningBrain,0.050,95.392,1.501,130,nan
RobotLearningBrain,0.052,96.254,1.533,130,nan
RobotLearningBrain,0.051,97.094,1.507,130,nan
RobotLearningBrain,0.052,97.952,1.549,130,nan
RobotLearningBrain,0.050,98.797,1.524,130,nan
RobotLearningBrain,0.050,99.643,1.525,130,nan
RobotLearningBrain,0.051,100.489,1.516,130,nan
RobotLearningBrain,0.053,101.334,1.535,130,nan
RobotLearningBrain,0.051,102.177,1.518,130,nan
RobotLearningBrain,0.052,103.036,1.554,130,nan
RobotLearningBrain,0.050,103.876,1.510,130,nan
RobotLearningBrain,0.051,104.720,1.526,130,nan
RobotLearningBrain,0.050,105.560,1.507,130,nan
RobotLearningBrain,0.050,106.412,1.542,130,nan
RobotLearningBrain,0.050,107.264,1.538,130,nan
RobotLearningBrain,0.052,108.113,1.522,130,nan
RobotLearningBrain,0.051,108.979,1.552,130,nan
RobotLearningBrain,0.052,109.822,1.527,130,nan
RobotLearningBrain,0.050,110.670,1.517,130,nan
RobotLearningBrain,0.051,111.523,1.532,130,nan
RobotLearningBrain,0.051,112.368,1.527,130,nan
RobotLearningBrain,0.051,113.211,1.514,130,nan
RobotLearningBrain,0.053,114.062,1.533,130,nan
RobotLearningBrain,0.050,114.912,1.531,130,nan
RobotLearningBrain,0.053,115.765,1.552,130,nan
RobotLearningBrain,0.051,116.639,1.553,130,nan
RobotLearningBrain,0.050,117.480,1.517,130,nan
RobotLearningBrain,0.050,118.317,1.515,130,nan
RobotLearningBrain,0.050,119.165,1.530,130,nan
RobotLearningBrain,0.051,120.018,1.540,130,nan
RobotLearningBrain,0.050,120.863,1.521,130,nan
RobotLearningBrain,0.051,121.716,1.541,130,nan
RobotLearningBrain,0.049,122.561,1.517,130,nan
RobotLearningBrain,0.051,123.415,1.529,130,nan
RobotLearningBrain,0.050,124.263,1.537,130,nan
RobotLearningBrain,0.050,125.101,1.520,130,nan
RobotLearningBrain,0.050,125.947,1.524,130,nan
RobotLearningBrain,0.051,126.792,1.530,130,nan
RobotLearningBrain,0.050,127.644,1.539,130,nan
RobotLearningBrain,0.051,128.502,1.548,130,nan
RobotLearningBrain,0.050,129.345,1.515,130,nan
RobotLearningBrain,0.051,130.192,1.531,130,nan
RobotLearningBrain,0.050,131.041,1.534,130,nan
RobotLearningBrain,0.050,131.896,1.554,130,nan
RobotLearningBrain,0.050,132.747,1.542,130,nan
RobotLearningBrain,0.052,133.589,1.523,130,nan
RobotLearningBrain,0.050,134.436,1.527,130,nan
RobotLearningBrain,0.050,135.273,1.502,130,nan
RobotLearningBrain,0.049,136.119,1.521,130,nan
RobotLearningBrain,0.050,136.979,1.554,130,nan
RobotLearningBrain,0.050,137.819,1.519,130,nan
RobotLearningBrain,0.049,138.667,1.524,130,nan
RobotLearningBrain,0.052,139.510,1.508,130,nan
RobotLearningBrain,0.050,140.359,1.542,130,nan
RobotLearningBrain,0.051,141.207,1.520,130,nan
RobotLearningBrain,0.051,142.054,1.518,130,nan
RobotLearningBrain,0.051,142.912,1.548,130,nan
RobotLearningBrain,0.051,143.754,1.503,130,nan
RobotLearningBrain,0.051,144.608,1.539,130,nan
RobotLearningBrain,0.050,145.454,1.532,130,nan
RobotLearningBrain,0.060,146.319,1.544,130,nan
RobotLearningBrain,0.051,147.171,1.526,130,nan
RobotLearningBrain,0.050,148.019,1.506,130,nan
RobotLearningBrain,0.051,148.867,1.529,130,nan
RobotLearningBrain,0.049,149.708,1.514,130,nan
RobotLearningBrain,0.051,150.557,1.536,130,nan
RobotLearningBrain,0.049,151.408,1.521,130,nan
RobotLearningBrain,0.050,152.251,1.527,130,nan
RobotLearningBrain,0.052,153.101,1.523,130,nan
RobotLearningBrain,0.051,153.964,1.561,130,nan
RobotLearningBrain,0.050,154.801,1.514,130,nan
RobotLearningBrain,0.051,155.648,1.534,130,nan
RobotLearningBrain,0.050,156.487,1.529,130,nan
RobotLearningBrain,0.052,157.338,1.539,130,nan
RobotLearningBrain,0.050,158.189,1.526,130,nan
RobotLearningBrain,0.053,159.036,1.519,130,nan
RobotLearningBrain,0.050,159.884,1.524,130,nan
RobotLearningBrain,0.050,160.720,1.498,130,nan
RobotLearningBrain,0.050,161.575,1.514,130,nan
RobotLearningBrain,0.050,162.428,1.528,130,nan
RobotLearningBrain,0.050,163.271,1.533,130,nan
RobotLearningBrain,0.050,164.122,1.537,130,nan
RobotLearningBrain,0.051,164.971,1.521,130,nan
RobotLearningBrain,0.051,165.815,1.520,130,nan
RobotLearningBrain,0.050,166.658,1.523,130,nan
RobotLearningBrain,0.050,167.497,1.517,130,nan
RobotLearningBrain,0.049,168.341,1.516,130,nan
RobotLearningBrain,0.051,169.182,1.517,130,nan
RobotLearningBrain,0.051,170.032,1.545,130,nan
RobotLearningBrain,0.051,170.884,1.544,130,nan
RobotLearningBrain,0.051,171.727,1.515,130,nan
RobotLearningBrain,0.051,172.576,1.536,130,nan
RobotLearningBrain,0.050,173.418,1.519,130,nan
RobotLearningBrain,0.050,174.277,1.548,130,nan
RobotLearningBrain,0.050,175.126,1.526,130,nan
RobotLearningBrain,0.051,175.969,1.506,130,nan
RobotLearningBrain,0.051,176.849,1.584,130,nan
RobotLearningBrain,0.050,177.693,1.532,130,nan
RobotLearningBrain,0.051,178.539,1.513,130,nan
RobotLearningBrain,0.050,179.389,1.546,130,nan
RobotLearningBrain,0.050,180.229,1.507,130,nan
RobotLearningBrain,0.050,181.070,1.517,130,nan
RobotLearningBrain,0.050,181.920,1.529,130,nan
RobotLearningBrain,0.050,182.765,1.524,130,nan
RobotLearningBrain,0.050,183.611,1.518,130,nan
RobotLearningBrain,0.051,184.452,1.515,130,nan
RobotLearningBrain,0.050,185.308,1.546,130,nan
RobotLearningBrain,0.051,186.159,1.532,130,nan
RobotLearningBrain,0.050,187.016,1.533,130,nan
RobotLearningBrain,0.051,187.878,1.552,130,nan
RobotLearningBrain,0.052,188.722,1.518,130,nan
RobotLearningBrain,0.051,189.570,1.525,130,nan
RobotLearningBrain,0.052,190.408,1.500,130,nan
RobotLearningBrain,0.050,191.260,1.539,130,nan
RobotLearningBrain,0.053,192.113,1.530,130,nan
RobotLearningBrain,0.050,192.962,1.535,130,nan
RobotLearningBrain,0.050,193.819,1.547,130,nan
RobotLearningBrain,0.051,194.663,1.526,130,nan
RobotLearningBrain,0.052,195.525,1.541,130,nan
RobotLearningBrain,0.050,196.373,1.528,130,nan
RobotLearningBrain,0.051,197.211,1.499,130,nan
RobotLearningBrain,0.051,198.057,1.521,130,nan
RobotLearningBrain,0.052,198.909,1.528,130,nan
RobotLearningBrain,0.053,199.758,1.533,130,nan
RobotLearningBrain,0.052,200.613,1.534,130,nan
RobotLearningBrain,0.050,201.461,1.527,130,nan
RobotLearningBrain,0.050,202.315,1.538,130,nan
RobotLearningBrain,0.052,203.158,1.513,130,nan
RobotLearningBrain,0.050,203.904,1.328,130,nan
RobotLearningBrain,0.051,204.664,1.352,130,nan
RobotLearningBrain,0.051,205.404,1.318,130,nan
RobotLearningBrain,0.050,206.155,1.344,130,nan
RobotLearningBrain,0.051,206.928,1.373,130,nan
RobotLearningBrain,0.051,207.678,1.321,130,nan
RobotLearningBrain,0.052,208.435,1.327,130,nan
RobotLearningBrain,0.050,209.171,1.315,130,nan
RobotLearningBrain,0.050,209.928,1.338,130,nan
RobotLearningBrain,0.050,210.666,1.303,130,nan
RobotLearningBrain,0.050,211.409,1.318,130,nan
RobotLearningBrain,0.051,212.165,1.326,130,nan
RobotLearningBrain,0.050,212.905,1.304,130,nan
RobotLearningBrain,0.051,213.652,1.320,130,nan
RobotLearningBrain,0.051,214.403,1.325,130,nan
RobotLearningBrain,0.050,215.143,1.307,130,nan
RobotLearningBrain,0.050,215.882,1.326,130,nan
RobotLearningBrain,0.049,216.623,1.322,130,nan
RobotLearningBrain,0.051,217.378,1.341,130,nan
RobotLearningBrain,0.050,218.121,1.325,130,nan
RobotLearningBrain,0.051,218.876,1.327,130,nan
RobotLearningBrain,0.050,219.673,1.424,130,nan
