Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotLearningBrain,0.051,67.379,2.380,130,nan
RobotLearningBrain,0.053,68.743,2.489,130,nan
RobotLearningBrain,0.053,70.058,2.400,130,nan
RobotLearningBrain,0.052,71.395,2.451,130,nan
RobotLearningBrain,0.052,72.713,2.393,130,nan
RobotLearningBrain,0.053,74.031,2.401,130,nan
RobotLearningBrain,0.051,75.354,2.402,130,nan
RobotLearningBrain,0.052,76.670,2.406,130,nan
RobotLearningBrain,0.052,77.998,2.420,130,nan
RobotLearningBrain,0.052,79.307,2.380,130,nan
RobotLearningBrain,0.051,80.624,2.396,130,nan
RobotLearningBrain,0.050,81.929,2.389,130,nan
RobotLearningBrain,0.052,83.275,2.457,130,nan
RobotLearningBrain,0.053,84.600,2.409,130,nan
RobotLearningBrain,0.052,85.919,2.383,130,nan
RobotLearningBrain,0.053,87.231,2.384,130,nan
RobotLearningBrain,0.053,88.554,2.410,130,nan
RobotLearningBrain,0.051,89.860,2.397,130,nan
RobotLearningBrain,0.052,91.175,2.406,130,nan
RobotLearningBrain,0.051,92.511,2.446,130,nan
RobotLearningBrain,0.051,93.815,2.394,130,nan
RobotLearningBrain,0.051,95.131,2.390,130,nan
RobotLearningBrain,0.055,96.465,2.410,130,nan
RobotLearningBrain,0.052,97.792,2.422,130,nan
RobotLearningBrain,0.053,99.153,2.471,130,nan
RobotLearningBrain,0.055,100.484,2.418,130,nan
RobotLearningBrain,0.052,101.805,2.381,130,nan
RobotLearningBrain,0.052,103.137,2.440,130,nan
RobotLearningBrain,0.055,104.479,2.447,130,nan
RobotLearningBrain,0.054,105.811,2.420,130,nan
RobotLearningBrain,0.053,107.159,2.476,130,nan
RobotLearningBrain,0.054,108.496,2.437,130,nan
RobotLearningBrain,0.054,109.815,2.409,130,nan
RobotLearningBrain,0.052,111.153,2.453,130,nan
RobotLearningBrain,0.054,112.511,2.488,130,nan
RobotLearningBrain,0.052,113.865,2.469,130,nan
RobotLearningBrain,0.052,115.439,2.908,130,nan
RobotLearningBrain,0.053,117.056,2.970,130,nan
RobotLearningBrain,0.053,118.637,2.913,130,nan
RobotLearningBrain,0.053,120.136,2.776,130,nan
RobotLearningBrain,0.051,121.600,2.694,130,nan
RobotLearningBrain,0.053,123.063,2.665,130,nan
RobotLearningBrain,0.054,124.530,2.690,130,nan
RobotLearningBrain,0.055,125.986,2.647,130,nan
RobotLearningBrain,0.053,127.455,2.707,130,nan
RobotLearningBrain,0.053,128.932,2.695,130,nan
RobotLearningBrain,0.056,130.376,2.640,130,nan
RobotLearningBrain,0.053,131.849,2.700,130,nan
RobotLearningBrain,0.053,133.331,2.707,130,nan
RobotLearningBrain,0.054,134.849,2.788,130,nan
RobotLearningBrain,0.055,136.333,2.706,130,nan
RobotLearningBrain,0.052,137.823,2.750,130,nan
RobotLearningBrain,0.053,139.292,2.717,130,nan
RobotLearningBrain,0.053,140.789,2.760,130,nan
RobotLearningBrain,0.055,142.295,2.765,130,nan
RobotLearningBrain,0.056,143.840,2.846,130,nan
