Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotLearningBrain,0.087,4.348,7.049,130,nan
RobotLearningBrain,0.054,5.712,2.472,130,nan
RobotLearningBrain,0.058,7.102,2.523,130,nan
RobotLearningBrain,0.060,8.581,2.700,130,nan
RobotLearningBrain,0.051,9.974,2.554,130,nan
RobotLearningBrain,0.053,11.341,2.491,130,nan
RobotLearningBrain,0.052,12.693,2.479,130,nan
RobotLearningBrain,0.053,14.025,2.435,130,nan
RobotLearningBrain,0.053,15.360,2.441,130,nan
RobotLearningBrain,0.052,16.710,2.458,130,nan
RobotLearningBrain,0.059,18.121,2.554,130,nan
RobotLearningBrain,0.053,19.462,2.456,130,nan
RobotLearningBrain,0.052,20.790,2.446,130,nan
RobotLearningBrain,0.058,22.136,2.466,130,nan
RobotLearningBrain,0.056,23.523,2.511,130,nan
RobotLearningBrain,0.052,24.926,2.552,130,nan
RobotLearningBrain,0.055,26.248,2.390,130,nan
RobotLearningBrain,0.051,27.572,2.428,130,nan
RobotLearningBrain,0.051,28.894,2.394,130,nan
RobotLearningBrain,0.054,30.221,2.402,130,nan
RobotLearningBrain,0.052,31.579,2.454,130,nan
RobotLearningBrain,0.051,32.908,2.413,130,nan
RobotLearningBrain,0.053,34.235,2.404,130,nan
RobotLearningBrain,0.053,35.574,2.430,130,nan
RobotLearningBrain,0.051,36.893,2.390,130,nan
RobotLearningBrain,0.066,38.227,2.421,130,nan
RobotLearningBrain,0.052,39.565,2.443,130,nan
RobotLearningBrain,0.052,40.878,2.399,130,nan
RobotLearningBrain,0.052,42.198,2.409,130,nan
RobotLearningBrain,0.052,43.531,2.408,130,nan
RobotLearningBrain,0.052,44.879,2.464,130,nan
RobotLearningBrain,0.057,46.199,2.404,130,nan
RobotLearningBrain,0.052,47.530,2.417,130,nan
RobotLearningBrain,0.051,48.857,2.417,130,nan
RobotLearningBrain,0.052,50.179,2.421,130,nan
RobotLearningBrain,0.052,51.500,2.408,130,nan
RobotLearningBrain,0.052,52.823,2.432,130,nan
RobotLearningBrain,0.051,54.150,2.434,130,nan
RobotLearningBrain,0.052,55.493,2.451,130,nan
RobotLearningBrain,0.052,56.823,2.420,130,nan
RobotLearningBrain,0.052,58.137,2.393,130,nan
RobotLearningBrain,0.052,59.466,2.408,130,nan
RobotLearningBrain,0.052,60.794,2.419,130,nan
RobotLearningBrain,0.053,62.105,2.406,130,nan
RobotLearningBrain,0.052,63.433,2.404,130,nan
RobotLearningBrain,0.052,64.752,2.401,130,nan
RobotLearningBrain,0.052,66.066,2.362,130,nan
